KEY	511145-E_coli_Wisniewski_2014_cpc.txt_Unnamed: 1	511145-Ecoli_APEX_arike_2012.txt_Unnamed: 1	511145-Ecoli_Krug_2013.txt_Unnamed: 1	511145-Ecoli_Krug_2013_emPAI.txt_Unnamed: 1	511145-Ecoli_emPAI_arike_2012.txt_Unnamed: 1	511145-Ecoli_iBAQ_arike_2012.txt_Unnamed: 1	511145-Ecoli_strainK12_PRIDE.txt_Unnamed: 1	511145-Escherichia_coli_SC_biomart_12189_E__2reps.txt_Unnamed: 1	511145-Escherichia_coli_SC_biomart_17112_E__2reps.txt_Unnamed: 1	511145-Escherichia_coli_SC_biomart_18119_E__5reps.txt_Unnamed: 1	511145-Escherichia_coli_SC_biomart_29780_E_BTO0000214cellculture_2reps.txt_Unnamed: 1	511145-GPM_201408.txt_Unnamed: 1	511145-Lu_ecoli_2007.txt_Unnamed: 1	511145-PXD020761_Midha_Sci_Data_2020_Ecoli_DIA-SWATH.txt_Unnamed: 1	511145-Taniguchi_2010_Table_S6.txt_Unnamed: 1	511145-WHOLE_ORGANISM-integrated.txt_Unnamed: 1	511145-WT-lewis-peptide_count.txt_Unnamed: 1	511145-ecoli1_HCD_CID_PRIDE.txt_Unnamed: 1	511145-ecoli2_resolutionCombination_PRIDE.txt_Unnamed: 1
ENSB:zIil9suWb_qTC9w	22.3	0	19.9	0.986	0	0	34.1	22.4	0	25.5	0	13.2	0	4.61	0	10.0	0	0	24.8
ENSB:8Pklk-21TfJIn28	1.26	0	0.42	0.124	0	0	0	4.99	0	0	10.8	8.58	0	1.12	0	2.41	0	0	0
ENSB:zd_r_RFgrj6_QCN	0	0	0	0	0	0	21.6	0	0	58.1	0	0	0	0	0	8.43	0	0	25.9
ENSB:1e1VE21jo5rK1rI	602	81.9	132	13.5	106	80.6	492	105	76.6	268	82.0	241	0	254	0	186	0	0	379
ENSB:SWDBfyof74_RWQx	899	0	113	9.85	30.3	9.38	1136	56.0	652	916	13.1	356	0	466	245	311	0	0	587
ENSB:ysZ7TDemt4OTV0O	0	0	18.9	0.797	0	0	0	11.5	0	16.1	7.19	13.9	0	2.02	120	11.0	0	0	7.31
ENSB:lfC3krKyLxS0nWp	616	1283	1254	115	953	952	1531	565	711	972	682	899	338	441	1560	810	221	715	795
ENSB:3WMDYB_b1eLMY85	18.6	0	22.0	2.15	0	0	67.7	51.8	0	0	0	37.5	0	12.2	0	6.05	0	0	0
ENSB:ZTM6mVYSbci9y71	10.2	0	3.29	0.408	0	0	0	16.8	0	0	0	7.15	0	4.3	0	1.47	0	0	0
b3622	0	0	0.739	0.102	0	0	8.31	0	0	0	0	3.45	0	1.7	0	0.369	0	0	0
b3623	0	67.7	11.1	0.798	30.3	6.56	0	22.3	0	8.26	26.1	7.92	0	4.09	0	12.2	0	0	3.79
b3624	0	0	7.29	0.42	0	0	0	0	0	6.86	0	7.03	0	0	0	1.67	0	0	3.26
ENSB:-kE9dm-L4XzDW08	0	14.1	24.8	1.44	0	0	26.6	133	0	0	1.31	30.1	0	8.34	0	5.5	0	0	0
ENSB:uKz7hJF5VQJAk5Q	0	0	1.96	0.159	0	0	0	33.2	0	33.5	13.6	2.61	0	7.15	0	7.81	0	0	15.4
ENSB:QXH8_OwHaDkuPC8	0	0	6.24	0.382	0	0	12.1	7.88	0	0	0	4.64	0	0	0	0.821	0	0	0
b3628	0	0	13.2	0.856	0	0	0	23.7	0	0	0	10.7	0	0	0	1.4	0	0	0
b3629	0	0	2.37	0.077	0	0	94.5	3.36	0	8.57	9.33	14.3	0	0	0	5.41	0	0	5.1
ENSB:73595sbkplnYg4J	13.6	0	5.36	0.214	0	0	45.8	28.4	0	44.2	119	7.89	0	3.39	0	29.7	0	0	20.7
ENSB:IPHJ2ZVXIYyzprk	3.99	0	14.9	0.735	0	0	14.7	32.7	0	5.67	0	9.76	0	5.61	0	3.02	0	0	2.64
ENSB:H3I7psDOZeABeqs	0	0	49.4	0.531	0	0	5.1	19.9	0	0	0	12.4	0	12.5	0	3.8	0	0	0
ENSB:qLRaOxMwdeqctsD	56.5	0	11.7	0.629	0	0	0	42.4	38.8	15.4	0.687	14.5	0	45.0	112	15.7	0	0	7.09
ENSB:c_WTxg5gtTTlfmR	98.8	0	123	323	0	0	0	131	0	192	0	46.0	0	5.66	0	53.7	0	0	90.3
ENSB:VzWg4rfs9htYUeM	27.4	0	0	0	0	0	19.1	0	0	10.3	0	11.9	0	19.2	12.8	5.32	0	0	4.79
ENSB:CWtQvoXTBEZC9mj	4686	1757	1725	32.1	538	2234	5615	6270	698	4967	1732	2387	5508	2664	0	2963	2777	4934	4680
ENSB:gQOeEVsOhFXbnup	3117	2005	2890	205	4612	3043	5150	4147	7816	2301	3557	4786	3751	9150	0	4017	10995	4244	4208
ENSB:fT76Daeh4ElamPG	0	0	0	0	0	0	9.67	0	0	0	2.41	0	0	0	0	0.587	0	0	0
ENSB:Aq61TUiWD0Nu1Ti	130	215	57.3	1.6	168	178	60.6	58.4	88.1	214	263	157	0	38.4	181	136	0	45.2	107
ENSB:aVp2xJxjWbrZbRT	188	0	73.2	1.45	171	189	35.2	284	581	459	376	392	0	182	1268	322	318	563	221
ENSB:HmRLgEc1ssIU0Ks	20.9	0	39.3	2.75	54.7	0	29.2	83.9	0	79.3	11.8	45.1	0	41.5	0	24.3	0	0	37.3
ENSB:aHdmawKIczqHCSl	123	0	6.07	1.03	0	0	163	50.7	168	0	6.3	40.4	0	117	0	23.3	0	0	0
ENSB:avhUtYZ8BRJUQh6	184	281	699	28.3	199	272	272	352	173	457	495	270	0	218	0	271	69.9	63.6	220
ENSB:k4ft9j6zb7eIjrS	19.8	0	0	0	0	0	93.9	0	0	0	0	0	0	0	0	3.03	0	0	0
ENSB:sEwvRsxMe4JoCp1	0	0	0	0	0	0	0	0	0	0	1.89	0	0	0	0	0.328	0	0	0
ENSB:f9iBDFViGBgZ8zK	0	0	0	0	0	0	7.94	0	0	0	2.5	0	0	0	0	1.2	0	0	3.59
ENSB:7blDXXc_NiDO9tw	46.2	42.4	265	7.46	51.8	54.4	802	290	198	206	79.3	93.2	0	195	415	137	29.2	125	142
ENSB:Ao9x29GFZzJVE8r	317	1313	37.1	1.88	3472	1204	3636	1514	916	1957	2131	1619	1495	900	6962	1763	1424	1116	1515
ENSB:06B52xiX7fP7JLK	21.6	0	18.5	1.54	14.7	0	15.6	89.5	24.8	61.2	6.85	41.4	0	19.4	307	32.0	0	0	28.3
ENSB:qBhvbzKtdjKQxji	15.0	0	44.4	1.5	0	0	215	42.6	0	39.9	0	50.7	0	12.2	0	18.5	32.4	15.4	18.6
ENSB:lXRfAgVeyMpPML5	1.76	0	10.6	0.516	0	0	17.4	30.8	0	0	2.54	9.87	0	4.81	72.9	9.32	0	0	20.5
ENSB:k8VZu8QpiIVxyLw	4.45	0	16.4	0.171	0	0	0	2.36	75.9	0	0	19.4	0	0	0	4.33	0	0	0
ENSB:fz1k70zPgbhbUYa	0	0	5.14	0.058	0	0	0	0	0	0	0	4.11	0	0	0	0.443	0	0	0
ENSB:jMkoRQyFowlPYve	24.1	0	43.8	1.88	18.1	16.4	0	90.9	10.9	101	2.69	31.9	0	24.8	19.3	24.3	0	0.543	47.2
ENSB:F4ulk4hgxLkCNe-	1.88	0	0.028	0.047	0	0	12.2	2.87	0	0	0	0.305	0	0	0	0.388	0	0	0
ENSB:mbz_whkexQVdoTY	0	0	0	0	0	0	11.1	0	0	0	0	0	0	0	0	0.193	0	0	0
ENSB:X-EYiMKyEwRACX6	0	0	0	0	0	0	0	6.76	0	0	0	0	0	0	0	0.065	0	0	0
ENSB:xkdIgqUuAorcw-t	0	0	0.02	0.036	0	0	0	0	0	0	0	0	0	0	0	0.002	0	0	0
ENSB:Yt0ZXZY2qNe1sFn	30.7	425	448	9.89	374	279	105	301	53.5	132	272	197	0	25.8	23.0	170	45.9	52.1	115
ENSB:S4y01DtviYFSgmD	0.706	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05	0	0	0
ENSB:37KA9hfUXEXqsB9	18.9	0	1.5	0.143	0	0	0	28.5	0	0	5.22	0.989	0	1.67	0	2.69	0	0	0
